DATE,Price
1/1/80,0.879
2/1/80,0.774
3/1/80,0.812
4/1/80,0.797
5/1/80,0.737
6/1/80,0.731
7/1/80,0.776
8/1/80,0.907
9/1/80,0.898
10/1/80,0.867
11/1/80,0.917
12/1/80,1.031
1/1/81,0.943
2/1/81,0.924
3/1/81,0.875
4/1/81,0.904
5/1/81,0.836
6/1/81,0.852
7/1/81,0.86
8/1/81,0.868
9/1/81,0.915
10/1/81,0.898
11/1/81,0.943
12/1/81,0.966
1/1/82,0.925
2/1/82,1.007
3/1/82,0.952
4/1/82,0.896
5/1/82,0.842
6/1/82,0.783
7/1/82,0.851
8/1/82,0.778
9/1/82,0.852
10/1/82,0.854
11/1/82,0.849
12/1/82,0.813
1/1/83,0.821
2/1/83,0.794
3/1/83,0.836
4/1/83,0.825
5/1/83,0.865
6/1/83,0.825
7/1/83,0.847
8/1/83,0.884
9/1/83,0.938
10/1/83,0.962
11/1/83,0.996
12/1/83,1.131
1/1/84,1.301
2/1/84,1.324
3/1/84,1.153
4/1/84,1.199
5/1/84,1.054
6/1/84,0.903
7/1/84,0.876
8/1/84,0.86
9/1/84,0.854
10/1/84,0.842
11/1/84,0.823
12/1/84,0.867
1/1/85,0.746
2/1/85,0.784
3/1/85,0.79
4/1/85,0.783
5/1/85,0.745
6/1/85,0.724
7/1/85,0.787
8/1/85,0.789
9/1/85,0.857
10/1/85,0.86
11/1/85,0.872
12/1/85,0.906
1/1/86,0.901
2/1/86,0.866
3/1/86,0.887
4/1/86,0.89
5/1/86,0.82
6/1/86,0.795
7/1/86,0.833
8/1/86,0.913
9/1/86,0.868
10/1/86,0.855
11/1/86,0.897
12/1/86,0.91
1/1/87,0.862
2/1/87,0.823
3/1/87,0.8
4/1/87,0.786
5/1/87,0.763
6/1/87,0.711
7/1/87,0.763
8/1/87,0.73
9/1/87,0.837
10/1/87,0.778
11/1/87,0.805
12/1/87,0.733
1/1/88,0.76
2/1/88,0.718
3/1/88,0.74
4/1/88,0.719
5/1/88,0.678
6/1/88,0.705
7/1/88,0.803
8/1/88,0.909
9/1/88,0.874
10/1/88,0.896
11/1/88,0.839
12/1/88,0.833
1/1/89,0.941
2/1/89,0.89
3/1/89,1.031
4/1/89,0.997
5/1/89,0.956
6/1/89,0.937
7/1/89,0.961
8/1/89,0.983
9/1/89,1.038
10/1/89,1.023
11/1/89,1.08
12/1/89,1.137
1/1/90,1.223
2/1/90,1.041
3/1/90,1.111
4/1/90,1.092
5/1/90,0.94
6/1/90,0.93
7/1/90,0.899
8/1/90,0.954
9/1/90,0.946
10/1/90,1.012
11/1/90,1.018
12/1/90,1.001
1/1/91,1.106
2/1/91,0.987
3/1/91,1.069
4/1/91,1.002
5/1/91,0.908
6/1/91,0.884
7/1/91,0.966
8/1/91,1.024
9/1/91,0.987
10/1/91,0.976
11/1/91,0.95
12/1/91,1.012
1/1/92,0.933
2/1/92,0.881
3/1/92,0.85
4/1/92,0.829
5/1/92,0.836
6/1/92,0.801
7/1/92,0.827
8/1/92,0.809
9/1/92,0.873
10/1/92,0.858
11/1/92,0.897
12/1/92,0.928
1/1/93,0.898
2/1/93,0.895
3/1/93,0.927
4/1/93,0.997
5/1/93,0.895
6/1/93,0.921
7/1/93,0.9
8/1/93,0.929
9/1/93,0.89
10/1/93,0.897
11/1/93,0.917
12/1/93,0.871
1/1/94,0.917
2/1/94,0.903
3/1/94,0.926
4/1/94,0.861
5/1/94,0.801
6/1/94,0.841
7/1/94,0.815
8/1/94,0.895
9/1/94,0.855
10/1/94,0.81
11/1/94,0.857
12/1/94,0.873
1/1/95,0.882
2/1/95,0.863
3/1/95,0.875
4/1/95,0.833
5/1/95,0.819
6/1/95,0.825
7/1/95,0.879
8/1/95,0.984
9/1/95,0.956
10/1/95,0.981
11/1/95,1.037
12/1/95,1.16
1/1/96,1.155
2/1/96,1.091
3/1/96,1.138
4/1/96,1.086
5/1/96,1.021
6/1/96,0.945
7/1/96,1.042
8/1/96,1.072
9/1/96,1.15
10/1/96,1.129
11/1/96,1.139
12/1/96,1.308
1/1/97,1.148
2/1/97,1.132
3/1/97,1.056
4/1/97,1.081
5/1/97,1.002
6/1/97,0.952
7/1/97,0.979
8/1/97,1.061
9/1/97,1.009
10/1/97,1.018
11/1/97,1.09
12/1/97,1.172
1/1/98,1.12
2/1/98,1.073
3/1/98,1.043
4/1/98,1.061
5/1/98,0.96
6/1/98,0.932
7/1/98,0.971
8/1/98,1.053
9/1/98,1.022
10/1/98,1.048
11/1/98,1.077
12/1/98,1.089
1/1/99,1.053
2/1/99,1.078
3/1/99,1.005
4/1/99,0.942
5/1/99,0.9
6/1/99,0.949
7/1/99,0.88
8/1/99,1.02
9/1/99,0.956
10/1/99,0.888
11/1/99,0.92
12/1/99,0.92
1/1/00,0.975
2/1/00,0.962
3/1/00,0.931
4/1/00,0.939
5/1/00,0.852
6/1/00,0.838
7/1/00,0.868
8/1/00,0.893
9/1/00,0.92
10/1/00,0.923
11/1/00,0.902
12/1/00,0.959
1/1/01,1.011
2/1/01,0.943
3/1/01,0.886
4/1/01,1.028
5/1/01,0.881
6/1/01,0.92
7/1/01,0.862
8/1/01,0.929
9/1/01,0.916
10/1/01,0.916
11/1/01,0.935
12/1/01,0.925
1/1/02,0.973
2/1/02,0.996
3/1/02,1.003
4/1/02,1.047
5/1/02,0.997
6/1/02,0.975
7/1/02,0.99
8/1/02,1.053
9/1/02,1.055
10/1/02,1.039
11/1/02,1.08
12/1/02,1.176
1/1/03,1.175
2/1/03,1.189
3/1/03,1.209
4/1/03,1.131
5/1/03,1.009
6/1/03,1.199
7/1/03,1.15
8/1/03,1.277
9/1/03,1.257
10/1/03,1.33
11/1/03,1.448
12/1/03,1.559
1/1/04,1.573
2/1/04,1.583
3/1/04,1.625
4/1/04,1.562
5/1/04,1.372
6/1/04,1.311
7/1/04,1.253
8/1/04,1.277
9/1/04,1.145
10/1/04,1.089
11/1/04,1.085
12/1/04,1.199
1/1/05,1.211
2/1/05,1.284
3/1/05,1.132
4/1/05,1.164
5/1/05,1.185
6/1/05,1.139
7/1/05,1.165
8/1/05,1.166
9/1/05,1.279
10/1/05,1.264
11/1/05,1.279
12/1/05,1.35
1/1/06,1.449
2/1/06,1.328
3/1/06,1.302
4/1/06,1.283
5/1/06,1.206
6/1/06,1.242
7/1/06,1.213
8/1/06,1.244
9/1/06,1.254
10/1/06,1.257
11/1/06,1.354
12/1/06,1.543
1/1/07,1.549
2/1/07,1.746
3/1/07,1.634
4/1/07,1.616
5/1/07,1.504
6/1/07,1.373
7/1/07,1.502
8/1/07,1.634
9/1/07,1.825
10/1/07,1.771
11/1/07,1.862
12/1/07,2.099
1/1/08,2.175
2/1/08,2.168
3/1/08,2.203
4/1/08,2.069
5/1/08,1.93
6/1/08,1.92
7/1/08,2.011
8/1/08,1.854
9/1/08,1.978
10/1/08,1.858
11/1/08,1.838
12/1/08,1.834
1/1/09,1.85
2/1/09,1.795
3/1/09,1.693
4/1/09,1.774
5/1/09,1.501
6/1/09,1.529
7/1/09,1.495
8/1/09,1.632
9/1/09,1.627
10/1/09,1.595
11/1/09,1.705
12/1/09,1.772
1/1/10,1.789
2/1/10,1.872
3/1/10,1.822
4/1/10,1.779
5/1/10,1.523
6/1/10,1.494
7/1/10,1.441
8/1/10,1.519
9/1/10,1.753
10/1/10,1.456
11/1/10,1.675
12/1/10,1.793
1/1/11,1.806
2/1/11,1.708
3/1/11,1.732
4/1/11,1.727
5/1/11,1.692
6/1/11,1.683
7/1/11,1.647
8/1/11,1.711
9/1/11,1.947
10/1/11,1.871
11/1/11,1.836
12/1/11,1.874
1/1/12,1.939
2/1/12,1.798
3/1/12,1.774
4/1/12,1.829
5/1/12,1.691
6/1/12,1.67
7/1/12,1.648
8/1/12,1.884
9/1/12,1.889
10/1/12,1.96
11/1/12,1.963
12/1/12,2.007
1/1/13,1.933
2/1/13,1.965
3/1/13,1.925
4/1/13,1.918
5/1/13,1.87
6/1/13,1.859
7/1/13,1.833
8/1/13,1.838
9/1/13,1.897
10/1/13,1.925
11/1/13,1.925
12/1/13,2.026
1/1/14,2.008
2/1/14,1.998
3/1/14,2.061
4/1/14,2.119
5/1/14,1.996
6/1/14,1.948
7/1/14,1.95
8/1/14,1.979
9/1/14,1.97
10/1/14,1.951
11/1/14,2.032
12/1/14,2.21
1/1/15,2.113
2/1/15,2.088
3/1/15,2.133
4/1/15,2.065
5/1/15,1.962
6/1/15,2.57
7/1/15,2.57
8/1/15,2.943
9/1/15,2.966
10/1/15,2.808
11/1/15,2.664
12/1/15,2.751
1/1/16,2.328
2/1/16,2.267
3/1/16,2.081
4/1/16,1.793
5/1/16,1.684
6/1/16,1.491
7/1/16,1.546
8/1/16,1.455
9/1/16,1.471
10/1/16,1.39
11/1/16,1.321
12/1/16,1.383
1/1/17,1.599
2/1/17,1.464
3/1/17,1.404
4/1/17,1.409
5/1/17,1.414
6/1/17,1.332
7/1/17,1.333
8/1/17,1.367
9/1/17,1.422
10/1/17,1.54
11/1/17,1.506
12/1/17,1.815
1/1/18,1.769
2/1/18,1.755
3/1/18,1.831
4/1/18,2.081
5/1/18,1.987
6/1/18,1.628
7/1/18,1.725
8/1/18,1.622
9/1/18,1.651
10/1/18,1.66
11/1/18,1.596
12/1/18,1.595
1/1/19,1.554
2/1/19,1.557
3/1/19,1.544
4/1/19,1.463
5/1/19,1.362
6/1/19,1.203
7/1/19,1.243
8/1/19,1.219
9/1/19,1.383
10/1/19,1.282
11/1/19,1.405
12/1/19,1.535
1/1/20,1.461
2/1/20,1.449
3/1/20,1.525
4/1/20,2.019
5/1/20,1.64
6/1/20,1.554
7/1/20,1.401
8/1/20,1.328
9/1/20,1.353
10/1/20,1.408
11/1/20,1.45
12/1/20,1.481
1/1/21,1.466
2/1/21,1.597
3/1/21,1.625
4/1/21,1.62
5/1/21,1.625
6/1/21,1.642
7/1/21,1.642
8/1/21,1.709
9/1/21,1.835
10/1/21,1.821
11/1/21,1.718
12/1/21,1.788
1/1/22,1.929
2/1/22,2.005
3/1/22,2.046
4/1/22,2.52
5/1/22,2.863
6/1/22,2.707
7/1/22,2.936
8/1/22,3.116
9/1/22,2.902
10/1/22,3.419
11/1/22,3.589
12/1/22,4.25
1/1/23,4.823
2/1/23,4.211
3/1/23,3.446
4/1/23,3.27
5/1/23,2.666
6/1/23,2.219
7/1/23,2.094
8/1/23,2.043
9/1/23,2.065
10/1/23,2.072
11/1/23,2.138
12/1/23,2.507